Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Status
aluminum-keybar,Aluminum KeyBar,"<p >Get organized and Stop the Noise with our classic Stonewash Aluminum KeyBar. Made of high-end aircraft-grade aluminum, and stonewashed for that rugged classic look. It's a simple yet sophisticated everyday carry sure to gain attention. Keep your essentials together in one perfect pocket sized package that can withstand some of the harshest environments.</p> <div class=""row""> <div class=""sml-12 med-6 columns""> <h2>What's included?</h2> <ul> <li > <ul> <li>(1) Branded hinged tin</li> <li>(1) KeyBar with a removable titanium pocket clip in the color of your choice</li> <li>(2) custom designed stainless steel 1/2"" screws (up to 4 keys)</li> <li>(2) custom designed stainless steel 3/4"" screws (up to 8 keys)</li> <li>(2) custom designed stainless steel 7/8"" screws (up to 12 keys)</li> <li>(18) Washers</li> <li>(2) O rings (allows you to adjust the tension)</li> <li>(1) Titanium key fob link</li> </ul> <h3>Will my keys fit?</h3> <p>Use the following dimensions to find out:</p> <ul> <li>Length of the KeyBar - 3.5""</li> <li>Width of each rounded end - .95""</li> <li>Distance between screw holes - 2.55""</li> <li>Screw post diameter - .164""</li> </ul> </li> </ul> </div> <div class=""sml-12 med-6 columns""> <h2>How much does the KeyBar weigh?</h2> <ul> <li > <ul> <li>Less than 2 ounces</li> <li>Less than 4 house keys</li> </ul> <h3>What can I put in the KeyBar?</h3> <ul> <li>Up to 12 keys and inserts with included screws</li> <li>Up to 20 keys and inserts with extension screws</li> </ul> </li> </ul> <div class=""box""> <p><strong>Add-Ons:</strong></p> <p><a href=""/product/extension-screws/"">Extension Screws</a> | <a href=""/product/magnut/"">MagNut Set</a> | <a href=""/product/keyrabiner-3-0/"">Keyrabiner</a><br><a href=""/product/ut-tl/"">Utility Tool</a> | <a href=""/product/pick/"">Pick</a> | <a href=""/product/quick-key-tab-copy/"">Quick Key Tab</a> | <a href=""/product-category/inserts/"">+ More</a></p></div> </div> </div>",KeyBar,,KeyBar,"All Products, KeyBars > Full Size KeyBars, KeyBars, All Products > Most Popular, aluminum key holder, aluminum KeyBar, key organizer",TRUE,Title,Default Title,,,,,AKB,56,shopify,0,deny,manual,41.95,,TRUE,TRUE,,https://www.keybar.us/wp-content/uploads/2016/06/Stonewashed-Aluminum-KeyBar-Main-Image.jpg,1,Aluminum KeyBar,FALSE,Aluminum KeyBar,<ul> <li>Aircraft grade aluminum featuring a stonewashed finish</li> <li>Accomodates up to 12 keys/tools with included hardware</li> <li>Includes titanium link to attach larger items like key fobs</li> <li>Titanium pocket clip included; deep carry version available</li> </ul>,,g,active
aluminum-keybar,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2016/06/Aluminum-KeyBar-With-Brass-MagNut.jpg,2,Aluminum KeyBar - Image 2,,,,,,
aluminum-keybar,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2016/06/53030763_296289481063885_8655851334543972949_n.jpg,3,Aluminum KeyBar - Image 3,,,,,,
aluminum-keybar,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2016/06/Stonewash-Aluminum-1.jpg,4,Aluminum KeyBar - Image 4,,,,,,
aluminum-keybar,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2016/06/Stonewash-Aluminum-2.jpg,5,Aluminum KeyBar - Image 5,,,,,,
titanium-keybar,Titanium KeyBar,"<p>Get organized and ""Stop the Noise"" with our classic Stonewashed Titanium KeyBar. Made of high-end titanium, and stonewashed for that rugged classic look. It’s a simple yet sophisticated everyday carry sure to gain attention. Keep your essentials together in one perfect pocket sized package that can withstand some of the harshest environments.</p> <div class=""row""> <div class=""sml-12 med-6 columns""> <h2>What's included?</h2> <ul> <li > <ul> <li>(1) Branded hinged tin</li> <li>(1) KeyBar with a titanium pocket clip in the color of your choice</li> <li>Comes with Stainless Steel Screws</li> <li>(2) custom designed stainless steel 1/2"" screws (up to 4 keys)</li> <li>(2) custom designed stainless steel 3/4"" screws (up to 8 keys)</li> <li>(2) custom designed stainless steel 7/8"" screws (up to 12 keys)</li> <li>(18) Washers</li> <li>(2) O rings (allows you to adjust the tension)</li> <li>(1) Titanium key fob link</li> </ul> <h3>Will my keys fit?</h3> <p>Use the following dimensions to find out:</p> <ul> <li>Length of the KeyBar - 3.5""</li> <li>Width of each rounded end - .95""</li> <li>Distance between screw holes - 2.55""</li> <li>Screw post diameter - .164""</li> </ul> </li> </ul> </div> <div class=""sml-12 med-6 columns""> <h2>How much does the KeyBar weigh?</h2> <ul> <li > <ul> <li>Less than 2 ounces</li> <li>Less than 4 house keys</li> </ul> <h3>What can I put in the KeyBar?</h3> <ul> <li>Up to 12 keys and inserts with included screws</li> <li>Up to 28 keys and inserts with extension screws</li> </ul> </li> </ul> <div class=""box""> <p><strong>Add-Ons</strong></p> <p><a href=""/product/extension-screws/"">Extension Screws</a> | <a href=""/product/magnut/"">MagNut Set</a> | <a href=""/product/keyrabiner-3-0/"">Keyrabiner</a><br><a href=""/product/ut-tl/"">Utility Tool</a> | <a href=""/product/pick/"">Pick</a> | <a href=""/product/quick-key-tab-copy/"">Quick Key Tab</a> | <a href=""/product-category/inserts/"">+ More</a></p> </div> </div> </div>",KeyBar,,KeyBar,"All Products, KeyBars > Full Size KeyBars, KeyBars, All Products > Most Popular, edc key holder, EDC tools, every day carry key organizer, titanium key holder, titanium key organizer",TRUE,Title,Default Title,,,,,TKB,113,shopify,0,deny,manual,69.95,,TRUE,TRUE,,https://www.keybar.us/wp-content/uploads/2019/11/Titanium-Updated-November-2025-KeyBar-Key-Organizer-EDC-Tool.jpg,1,Titanium KeyBar,FALSE,Titanium KeyBar,"<ul> <li>Made of solid titanium</li> <li>Lightweight, rugged, and durable</li> <li>Classic and simple stonewash finish</li> </ul>",,g,active
titanium-keybar,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2015/07/Stonewashed-Titanium-KeyBar-Lifestyle.jpg,2,Titanium KeyBar - Image 2,,,,,,
titanium-keybar,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2015/07/Stonewash-Ti-1.jpg,3,Titanium KeyBar - Image 3,,,,,,
titanium-keybar,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2015/07/57060785_789522348094794_1358363838146318517_n.jpg,4,Titanium KeyBar - Image 4,,,,,,
titanium-keybar,,,,,,,,,,,,,,,,,,,,,,,,,https://www.keybar.us/wp-content/uploads/2015/07/Stonewash-Ti-2.jpg,5,Titanium KeyBar - Image 5,,,,,,
